#,0=FMV,0=horizontal,,0=left,from left to right,,,,,,,,,,,,,,-1=no amp,-1=no amp,,,,,,,,,
#,1=MRD,1=vertical,,1=right,from bottom to top,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,0=bottom,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,1=top,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITLE_LINE
channel_num,detector_system,orientation,layer,side,num,x (center),y (center),z (center),x width,y width,z width,Rack,TDC slot,TDC channel,Discrim. slot,Discrim. ch,Patch Panel Row,Patch Panel Col,Amp Slot,Amp Channel,hv_crate,hv_slot,hv_channel,nominal HV,polarity,PMT type,cable label,paddle label,notes
0,0,0,0,0,1,-210.613,-198.699875,5.08,,,,8,2,0,1,1,1,1,-1,-1,2,14,0,-1871,-1,EMI9815,MRD_x00_y00_z00,4SW,
1,0,0,0,0,2,-210.613,-167.999875,5.08,,,,8,2,1,1,2,1,2,-1,-1,2,14,1,-1838,-1,EMI9815,MRD_x00_y01_z00,U39,
2,0,0,0,0,3,-210.613,-137.299875,5.08,,,,8,2,2,1,3,1,3,-1,-1,2,14,2,-1793,-1,EMI9815,MRD_x00_y02_z00,"U58 (or U38, bad writing)",
3,0,0,0,0,4,-210.613,-106.599875,5.08,,,,8,2,3,1,4,1,4,-1,-1,2,14,3,-1806,-1,EMI9815,MRD_x00_y03_z00,U29,
4,0,0,0,0,5,-210.613,-75.899875,5.08,,,,8,2,4,1,5,1,5,-1,-1,2,14,4,-1865,-1,EMI9815,MRD_x00_y04_z00,14SW,
5,0,0,0,0,6,-210.613,-45.199875,5.08,,,,8,2,5,1,6,1,6,-1,-1,2,14,5,-1823,-1,EMI9815,MRD_x00_y05_z00,Unknown4,
6,0,0,0,0,7,-210.613,-14.499875,5.08,,,,8,2,6,1,7,1,7,-1,-1,2,14,6,-1798,-1,EMI9815,MRD_x00_y06_z00,U17,
7,0,0,0,0,8,-210.613,16.200125,5.08,,,,8,2,7,1,8,1,8,-1,-1,2,14,7,-1823,-1,EMI9815,MRD_x00_y07_z00,11SE,
8,0,0,0,0,9,-210.613,46.900125,5.08,,,,8,2,8,1,9,1,9,-1,-1,2,14,8,-1871,-1,EMI9815,MRD_x00_y08_z00,18SE,
9,0,0,0,0,10,-210.613,77.600125,5.08,,,,8,2,9,1,10,1,10,-1,-1,2,14,9,-1836,-1,EMI9815,MRD_x00_y09_z00,21SW,
10,0,0,0,0,11,-210.613,108.300125,5.08,,,,8,2,10,1,11,1,11,-1,-1,2,14,10,-1814,-1,EMI9815,MRD_x00_y10_z00,3SE,
11,0,0,0,0,12,-210.613,139.000125,5.08,,,,8,2,11,1,12,1,12,-1,-1,2,14,11,-1781,-1,EMI9815,MRD_x00_y11_z00,24SE,
12,0,0,0,0,13,-210.613,169.700125,5.08,,,,8,2,12,1,13,1,13,-1,-1,2,14,12,-1816,-1,EMI9815,MRD_x00_y12_z00,U25,
13,0,0,0,1,1,210.613,-198.064875,7.28,,,,8,2,16,3,1,2,1,-1,-1,2,15,0,-1805,-1,EMI9815,MRD_x01_y00_z00,28SE,
14,0,0,0,1,2,210.613,-167.364875,7.28,,,,8,2,17,3,2,2,2,-1,-1,2,15,1,-1818,-1,EMI9815,MRD_x01_y01_z00,31SE,
15,0,0,0,1,3,210.613,-136.664875,7.28,,,,8,2,18,3,3,2,3,-1,-1,2,15,2,-1860,-1,EMI9815,MRD_x01_y02_z00,8SE,
16,0,0,0,1,4,210.613,-105.964875,7.28,,,,8,2,19,3,4,2,4,-1,-1,2,15,3,-1780,-1,EMI9815,MRD_x01_y03_z00,11SW,
17,0,0,0,1,5,210.613,-75.264875,7.28,,,,8,2,20,3,5,2,5,-1,-1,2,15,4,-1841,-1,EMI9815,MRD_x01_y04_z00,U34,
18,0,0,0,1,6,210.613,-44.564875,7.28,,,,8,2,21,3,6,2,6,-1,-1,2,15,5,-1786,-1,EMI9815,MRD_x01_y05_z010,U36,
19,0,0,0,1,7,210.613,-13.864875,7.28,,,,8,2,22,3,7,2,7,-1,-1,2,15,6,-1864,-1,EMI9815,MRD_x01_y06_z00,U40,
20,0,0,0,1,8,210.613,16.835125,7.28,,,,8,2,23,3,8,2,8,-1,-1,2,15,7,-1858,-1,EMI9815,MRD_x01_y07_z00,Unknown5,
21,0,0,0,1,9,210.613,47.535125,7.28,,,,8,2,24,3,9,2,9,-1,-1,2,15,8,-1876,-1,EMI9815,MRD_x01_y08_z00,27SE,
22,0,0,0,1,10,210.613,78.235125,7.28,,,,8,2,25,3,10,2,10,-1,-1,2,15,9,-1806,-1,EMI9815,MRD_x01_y09_z00,Unknown2,
23,0,0,0,1,11,210.613,108.935125,7.28,,,,8,2,26,3,11,2,11,-1,-1,2,15,10,-1853,-1,EMI9815,MRD_x01_y10_z00,10SW,
24,0,0,0,1,12,210.613,139.635125,7.28,,,,8,2,27,3,12,2,12,-1,-1,2,15,11,-1860,-1,EMI9815,MRD_x01_y11_z00,Bill2,
25,0,0,0,1,13,210.613,170.335125,7.28,,,,8,2,28,3,13,2,13,-1,-1,2,15,12,-1844,-1,EMI9815,MRD_x01_y12_z00,13SE,
26,1,0,2,0,0,-73.75,-121.8,336.38,147.2,20,0.6,7,2,0,1,1,1,1,-1,-1,1,4,0,-2100,-1,,MRD_x00_y00_z02,MRD_x00_y00_z02,
27,1,0,2,0,1,-73.75,-101.5,336.38,147.2,20,0.6,7,2,1,1,2,1,2,-1,-1,1,4,1,-2100,-1,,MRD_x00_y01_z02,MRD_x00_y01_z02,
28,1,0,2,0,2,-73.75,-81.2,336.38,147.2,20,0.6,7,2,2,1,3,1,3,-1,-1,1,4,2,-2100,-1,,MRD_x00_y02_z02,MRD_x00_y02_z02,
29,1,0,2,0,3,-73.75,-60.9,336.38,147.2,20,0.6,7,2,3,1,4,1,4,-1,-1,1,4,3,-2100,-1,,MRD_x00_y03_z02,MRD_x00_y03_z02,
30,1,0,2,0,4,-73.75,-40.6,336.38,147.2,20,0.6,7,2,4,1,5,1,5,-1,-1,1,4,4,-2100,-1,,MRD_x00_y04_z02,MRD_x00_y04_z02,
31,1,0,2,0,5,-73.75,-20.3,336.38,147.2,20,0.6,7,2,5,1,6,1,6,-1,-1,1,4,5,-2100,-1,,MRD_x00_y05_z02,MRD_x00_y05_z02,
32,1,0,2,0,6,-73.75,0,336.38,147.2,20,0.6,7,2,6,1,7,1,7,-1,-1,1,4,6,-2100,-1,,MRD_x00_y06_z02,MRD_x00_y06_z02,
33,1,0,2,0,7,-73.75,20.3,336.38,147.2,20,0.6,7,2,7,1,8,1,8,-1,-1,1,4,7,-2100,-1,,MRD_x00_y07_z02,MRD_x00_y07_z02,
